,Name,Pclass,Cabin,Age
34,"Meyer, Mr. Edgar Joseph",1,,28.0
35,"Holverson, Mr. Alexander Oskar",1,,42.0
36,"Mamee, Mr. Hanna",3,,
37,"Cann, Mr. Ernest Charles",3,,21.0
38,"Vander Planke, Miss. Augusta Maria",3,,18.0
39,"Nicola-Yarred, Miss. Jamila",3,,14.0
40,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,,40.0
41,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,,27.0
42,"Kraeff, Mr. Theodor",3,,
43,"Laroche, Miss. Simonne Marie Anne Andree",2,,3.0
44,"Devaney, Miss. Margaret Delia",3,,19.0
45,"Rogers, Mr. William John",3,,
46,"Lennon, Mr. Denis",3,,
47,"O'Driscoll, Miss. Bridget",3,,
48,"Samaan, Mr. Youssef",3,,
49,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",3,,18.0
50,"Panula, Master. Juha Niilo",3,,7.0
51,"Nosworthy, Mr. Richard Cater",3,,21.0
52,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,D33,49.0
53,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,,29.0
54,"Ostby, Mr. Engelhart Cornelius",1,B30,65.0
55,"Woolner, Mr. Hugh",1,C52,
56,"Rugg, Miss. Emily",2,,21.0
57,"Novel, Mr. Mansouer",3,,28.5
58,"West, Miss. Constance Mirium",2,,5.0
59,"Goodwin, Master. William Frederick",3,,11.0
60,"Sirayanian, Mr. Orsen",3,,22.0
61,"Icard, Miss. Amelie",1,B28,38.0
62,"Harris, Mr. Henry Birkhardt",1,C83,45.0
63,"Skoog, Master. Harald",3,,4.0
64,"Stewart, Mr. Albert A",1,,
65,"Moubarek, Master. Gerios",3,,
66,"Nye, Mrs. (Elizabeth Ramell)",2,F33,29.0
67,"Crease, Mr. Ernest James",3,,19.0
68,"Andersson, Miss. Erna Alexandra",3,,17.0
69,"Kink, Mr. Vincenz",3,,26.0
70,"Jenkin, Mr. Stephen Curnow",2,,32.0
71,"Goodwin, Miss. Lillian Amy",3,,16.0
72,"Hood, Mr. Ambrose Jr",2,,21.0
73,"Chronopoulos, Mr. Apostolos",3,,26.0
74,"Bing, Mr. Lee",3,,32.0
75,"Moen, Mr. Sigurd Hansen",3,F G73,25.0
76,"Staneff, Mr. Ivan",3,,
77,"Moutal, Mr. Rahamin Haim",3,,
78,"Caldwell, Master. Alden Gates",2,,0.83
79,"Dowdell, Miss. Elizabeth",3,,30.0
80,"Waelens, Mr. Achille",3,,22.0
81,"Sheerlinck, Mr. Jan Baptist",3,,29.0
82,"McDermott, Miss. Brigdet Delia",3,,
83,"Carrau, Mr. Francisco M",1,,28.0
84,"Ilett, Miss. Bertha",2,,17.0
85,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,,33.0
86,"Ford, Mr. William Neal",3,,16.0
87,"Slocovski, Mr. Selman Francis",3,,
88,"Fortune, Miss. Mabel Helen",1,C23 C25 C27,23.0
89,"Celotti, Mr. Francesco",3,,24.0
90,"Christmann, Mr. Emil",3,,29.0
91,"Andreasson, Mr. Paul Edvin",3,,20.0
92,"Chaffee, Mr. Herbert Fuller",1,E31,46.0
93,"Dean, Mr. Bertram Frank",3,,26.0
94,"Coxon, Mr. Daniel",3,,59.0
95,"Shorney, Mr. Charles Joseph",3,,
96,"Goldschmidt, Mr. George B",1,A5,71.0
97,"Greenfield, Mr. William Bertram",1,D10 D12,23.0
98,"Doling, Mrs. John T (Ada Julia Bone)",2,,34.0
99,"Kantor, Mr. Sinai",2,,34.0
100,"Petranec, Miss. Matilda",3,,28.0
101,"Petroff, Mr. Pastcho (""Pentcho"")",3,,
102,"White, Mr. Richard Frasar",1,D26,21.0
103,"Johansson, Mr. Gustaf Joel",3,,33.0
104,"Gustafsson, Mr. Anders Vilhelm",3,,37.0
105,"Mionoff, Mr. Stoytcho",3,,28.0
106,"Salkjelsvik, Miss. Anna Kristine",3,,21.0
107,"Moss, Mr. Albert Johan",3,,
108,"Rekic, Mr. Tido",3,,38.0
109,"Moran, Miss. Bertha",3,,
110,"Porter, Mr. Walter Chamberlain",1,C110,47.0
111,"Zabour, Miss. Hileni",3,,14.5
112,"Barton, Mr. David John",3,,22.0
113,"Jussila, Miss. Katriina",3,,20.0
114,"Attalah, Miss. Malake",3,,17.0
115,"Pekoniemi, Mr. Edvard",3,,21.0
116,"Connors, Mr. Patrick",3,,70.5
117,"Turpin, Mr. William John Robert",2,,29.0
118,"Baxter, Mr. Quigg Edmond",1,B58 B60,24.0
119,"Andersson, Miss. Ellis Anna Maria",3,,2.0
120,"Hickman, Mr. Stanley George",2,,21.0
121,"Moore, Mr. Leonard Charles",3,,
122,"Nasser, Mr. Nicholas",2,,32.5
123,"Webber, Miss. Susan",2,E101,32.5
124,"White, Mr. Percival Wayland",1,D26,54.0
125,"Nicola-Yarred, Master. Elias",3,,12.0
126,"McMahon, Mr. Martin",3,,
127,"Madsen, Mr. Fridtjof Arne",3,,24.0
128,"Peter, Miss. Anna",3,F E69,
129,"Ekstrom, Mr. Johan",3,,45.0
130,"Drazenoic, Mr. Jozef",3,,33.0
131,"Coelho, Mr. Domingos Fernandeo",3,,20.0
132,"Robins, Mrs. Alexander A (Grace Charity Laury)",3,,47.0
133,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,,29.0
134,"Sobey, Mr. Samuel James Hayden",2,,25.0
135,"Richard, Mr. Emile",2,,23.0
136,"Newsom, Miss. Helen Monypeny",1,D47,19.0
137,"Futrelle, Mr. Jacques Heath",1,C123,37.0
138,"Osen, Mr. Olaf Elon",3,,16.0
139,"Giglio, Mr. Victor",1,B86,24.0
140,"Boulos, Mrs. Joseph (Sultana)",3,,
141,"Nysten, Miss. Anna Sofia",3,,22.0
142,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",3,,24.0
143,"Burke, Mr. Jeremiah",3,,19.0
144,"Andrew, Mr. Edgardo Samuel",2,,18.0
145,"Nicholls, Mr. Joseph Charles",2,,19.0
146,"Andersson, Mr. August Edvard (""Wennerstrom"")",3,,27.0
147,"Ford, Miss. Robina Maggie ""Ruby""",3,,9.0
148,"Navratil, Mr. Michel (""Louis M Hoffman"")",2,F2,36.5
149,"Byles, Rev. Thomas Roussel Davids",2,,42.0
150,"Bateman, Rev. Robert James",2,,51.0
151,"Pears, Mrs. Thomas (Edith Wearne)",1,C2,22.0
152,"Meo, Mr. Alfonzo",3,,55.5
153,"van Billiard, Mr. Austin Blyler",3,,40.5
154,"Olsen, Mr. Ole Martin",3,,
155,"Williams, Mr. Charles Duane",1,,51.0
156,"Gilnagh, Miss. Katherine ""Katie""",3,,16.0
157,"Corn, Mr. Harry",3,,30.0
158,"Smiljanic, Mr. Mile",3,,
159,"Sage, Master. Thomas Henry",3,,
160,"Cribb, Mr. John Hatfield",3,,44.0
161,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,,40.0
162,"Bengtsson, Mr. John Viktor",3,,26.0
163,"Calic, Mr. Jovo",3,,17.0
164,"Panula, Master. Eino Viljami",3,,1.0
165,"Goldsmith, Master. Frank John William ""Frankie""",3,,9.0
166,"Chibnall, Mrs. (Edith Martha Bowerman)",1,E33,
167,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",3,,45.0
168,"Baumann, Mr. John D",1,,
169,"Ling, Mr. Lee",3,,28.0
170,"Van der hoef, Mr. Wyckoff",1,B19,61.0
171,"Rice, Master. Arthur",3,,4.0
172,"Johnson, Miss. Eleanor Ileen",3,,1.0
173,"Sivola, Mr. Antti Wilhelm",3,,21.0
174,"Smith, Mr. James Clinch",1,A7,56.0
175,"Klasen, Mr. Klas Albin",3,,18.0
176,"Lefebre, Master. Henry Forbes",3,,
177,"Isham, Miss. Ann Elizabeth",1,C49,50.0
178,"Hale, Mr. Reginald",2,,30.0
179,"Leonard, Mr. Lionel",3,,36.0
180,"Sage, Miss. Constance Gladys",3,,
181,"Pernot, Mr. Rene",2,,
182,"Asplund, Master. Clarence Gustaf Hugo",3,,9.0
183,"Becker, Master. Richard F",2,F4,1.0
184,"Kink-Heilmann, Miss. Luise Gretchen",3,,4.0
185,"Rood, Mr. Hugh Roscoe",1,A32,
186,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",3,,
187,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,,45.0
188,"Bourke, Mr. John",3,,40.0
189,"Turcin, Mr. Stjepan",3,,36.0
190,"Pinsky, Mrs. (Rosa)",2,,32.0
191,"Carbines, Mr. William",2,,19.0
192,"Andersen-Jensen, Miss. Carla Christine Nielsine",3,,19.0
193,"Navratil, Master. Michel M",2,F2,3.0
194,"Brown, Mrs. James Joseph (Margaret Tobin)",1,B4,44.0
195,"Lurette, Miss. Elise",1,B80,58.0
196,"Mernagh, Mr. Robert",3,,
197,"Olsen, Mr. Karl Siegwart Andreas",3,,42.0
198,"Madigan, Miss. Margaret ""Maggie""",3,,
199,"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,,24.0
200,"Vande Walle, Mr. Nestor Cyriel",3,,28.0
201,"Sage, Mr. Frederick",3,,
202,"Johanson, Mr. Jakob Alfred",3,,34.0
203,"Youseff, Mr. Gerious",3,,45.5
204,"Cohen, Mr. Gurshon ""Gus""",3,,18.0
205,"Strom, Miss. Telma Matilda",3,G6,2.0
206,"Backstrom, Mr. Karl Alfred",3,,32.0
207,"Albimona, Mr. Nassef Cassem",3,,26.0
208,"Carr, Miss. Helen ""Ellen""",3,,16.0
209,"Blank, Mr. Henry",1,A31,40.0
210,"Ali, Mr. Ahmed",3,,24.0
211,"Cameron, Miss. Clear Annie",2,,35.0
212,"Perkin, Mr. John Henry",3,,22.0
213,"Givard, Mr. Hans Kristensen",2,,30.0
214,"Kiernan, Mr. Philip",3,,
215,"Newell, Miss. Madeleine",1,D36,31.0
216,"Honkanen, Miss. Eliina",3,,27.0
217,"Jacobsohn, Mr. Sidney Samuel",2,,42.0
218,"Bazzani, Miss. Albina",1,D15,32.0
219,"Harris, Mr. Walter",2,,30.0
220,"Sunderland, Mr. Victor Francis",3,,16.0
221,"Bracken, Mr. James H",2,,27.0
222,"Green, Mr. George Henry",3,,51.0
223,"Nenkoff, Mr. Christo",3,,
224,"Hoyt, Mr. Frederick Maxfield",1,C93,38.0
225,"Berglund, Mr. Karl Ivar Sven",3,,22.0
226,"Mellors, Mr. William John",2,,19.0
227,"Lovell, Mr. John Hall (""Henry"")",3,,20.5
228,"Fahlstrom, Mr. Arne Jonas",2,,18.0
229,"Lefebre, Miss. Mathilde",3,,
230,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,C83,35.0
231,"Larsson, Mr. Bengt Edvin",3,,29.0
232,"Sjostedt, Mr. Ernst Adolf",2,,59.0
233,"Asplund, Miss. Lillian Gertrud",3,,5.0
234,"Leyson, Mr. Robert William Norman",2,,24.0
235,"Harknett, Miss. Alice Phoebe",3,,
236,"Hold, Mr. Stephen",2,,44.0
237,"Collyer, Miss. Marjorie ""Lottie""",2,,8.0
238,"Pengelly, Mr. Frederick William",2,,19.0
239,"Hunt, Mr. George Henry",2,,33.0
240,"Zabour, Miss. Thamine",3,,
241,"Murphy, Miss. Katherine ""Kate""",3,,
242,"Coleridge, Mr. Reginald Charles",2,,29.0
243,"Maenpaa, Mr. Matti Alexanteri",3,,22.0
244,"Attalah, Mr. Sleiman",3,,30.0
245,"Minahan, Dr. William Edward",1,C78,44.0
246,"Lindahl, Miss. Agda Thorilda Viktoria",3,,25.0
247,"Hamalainen, Mrs. William (Anna)",2,,24.0
248,"Beckwith, Mr. Richard Leonard",1,D35,37.0
249,"Carter, Rev. Ernest Courtenay",2,,54.0
250,"Reed, Mr. James George",3,,
251,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",3,G6,29.0
252,"Stead, Mr. William Thomas",1,C87,62.0
253,"Lobb, Mr. William Arthur",3,,30.0
254,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",3,,41.0
255,"Touma, Mrs. Darwis (Hanne Youssef Razi)",3,,29.0
256,"Thorne, Mrs. Gertrude Maybelle",1,,
257,"Cherry, Miss. Gladys",1,B77,30.0
258,"Ward, Miss. Anna",1,,35.0
259,"Parrish, Mrs. (Lutie Davis)",2,,50.0
260,"Smith, Mr. Thomas",3,,
261,"Asplund, Master. Edvin Rojj Felix",3,,3.0
262,"Taussig, Mr. Emil",1,E67,52.0
263,"Harrison, Mr. William",1,B94,40.0
264,"Henry, Miss. Delia",3,,
265,"Reeves, Mr. David",2,,36.0
266,"Panula, Mr. Ernesti Arvid",3,,16.0
267,"Persson, Mr. Ernst Ulrik",3,,25.0
268,"Graham, Mrs. William Thompson (Edith Junkins)",1,C125,58.0
269,"Bissette, Miss. Amelia",1,C99,35.0
270,"Cairns, Mr. Alexander",1,,
271,"Tornquist, Mr. William Henry",3,,25.0
272,"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,,41.0
273,"Natsch, Mr. Charles H",1,C118,37.0
274,"Healy, Miss. Hanora ""Nora""",3,,
275,"Andrews, Miss. Kornelia Theodosia",1,D7,63.0
276,"Lindblom, Miss. Augusta Charlotta",3,,45.0
277,"Parkes, Mr. Francis ""Frank""",2,,
278,"Rice, Master. Eric",3,,7.0
279,"Abbott, Mrs. Stanton (Rosa Hunt)",3,,35.0
280,"Duane, Mr. Frank",3,,65.0
281,"Olsson, Mr. Nils Johan Goransson",3,,28.0
282,"de Pelsmaeker, Mr. Alfons",3,,16.0
283,"Dorking, Mr. Edward Arthur",3,,19.0
284,"Smith, Mr. Richard William",1,A19,
285,"Stankovic, Mr. Ivan",3,,33.0
286,"de Mulder, Mr. Theodore",3,,30.0
287,"Naidenoff, Mr. Penko",3,,22.0
288,"Hosono, Mr. Masabumi",2,,42.0
289,"Connolly, Miss. Kate",3,,22.0
290,"Barber, Miss. Ellen ""Nellie""",1,,26.0
291,"Bishop, Mrs. Dickinson H (Helen Walton)",1,B49,19.0
292,"Levy, Mr. Rene Jacques",2,D,36.0
293,"Haas, Miss. Aloisia",3,,24.0
294,"Mineff, Mr. Ivan",3,,24.0
295,"Lewy, Mr. Ervin G",1,,
296,"Hanna, Mr. Mansour",3,,23.5
297,"Allison, Miss. Helen Loraine",1,C22 C26,2.0
298,"Saalfeld, Mr. Adolphe",1,C106,
299,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,B58 B60,50.0
300,"Kelly, Miss. Anna Katherine ""Annie Kate""",3,,
301,"McCoy, Mr. Bernard",3,,
302,"Johnson, Mr. William Cahoone Jr",3,,19.0
303,"Keane, Miss. Nora A",2,E101,
304,"Williams, Mr. Howard Hugh ""Harry""",3,,
305,"Allison, Master. Hudson Trevor",1,C22 C26,0.92
306,"Fleming, Miss. Margaret",1,,
307,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,C65,17.0
308,"Abelson, Mr. Samuel",2,,30.0
309,"Francatelli, Miss. Laura Mabel",1,E36,30.0
310,"Hays, Miss. Margaret Bechstein",1,C54,24.0
311,"Ryerson, Miss. Emily Borie",1,B57 B59 B63 B66,18.0
312,"Lahtinen, Mrs. William (Anna Sylfven)",2,,26.0
313,"Hendekovic, Mr. Ignjac",3,,28.0
314,"Hart, Mr. Benjamin",2,,43.0
315,"Nilsson, Miss. Helmina Josefina",3,,26.0
316,"Kantor, Mrs. Sinai (Miriam Sternin)",2,,24.0
317,"Moraweck, Dr. Ernest",2,,54.0
318,"Wick, Miss. Mary Natalie",1,C7,31.0
319,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,E34,40.0
320,"Dennis, Mr. Samuel",3,,22.0
321,"Danoff, Mr. Yoto",3,,27.0
322,"Slayter, Miss. Hilda Mary",2,,30.0
323,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",2,,22.0
324,"Sage, Mr. George John Jr",3,,
325,"Young, Miss. Marie Grice",1,C32,36.0
326,"Nysveen, Mr. Johan Hansen",3,,61.0
327,"Ball, Mrs. (Ada E Hall)",2,D,36.0
328,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",3,,31.0
329,"Hippach, Miss. Jean Gertrude",1,B18,16.0
330,"McCoy, Miss. Agnes",3,,
331,"Partner, Mr. Austen",1,C124,45.5
332,"Graham, Mr. George Edward",1,C91,38.0
333,"Vander Planke, Mr. Leo Edmondus",3,,16.0
334,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,,
335,"Denkoff, Mr. Mitto",3,,
336,"Pears, Mr. Thomas Clinton",1,C2,29.0
337,"Burns, Miss. Elizabeth Margaret",1,E40,41.0
338,"Dahl, Mr. Karl Edwart",3,,45.0
339,"Blackwell, Mr. Stephen Weart",1,T,45.0
340,"Navratil, Master. Edmond Roger",2,F2,2.0
341,"Fortune, Miss. Alice Elizabeth",1,C23 C25 C27,24.0
342,"Collander, Mr. Erik Gustaf",2,,28.0
343,"Sedgwick, Mr. Charles Frederick Waddington",2,,25.0
344,"Fox, Mr. Stanley Hubert",2,,36.0
345,"Brown, Miss. Amelia ""Mildred""",2,F33,24.0
346,"Smith, Miss. Marion Elsie",2,,40.0
347,"Davison, Mrs. Thomas Henry (Mary E Finck)",3,,
348,"Coutts, Master. William Loch ""William""",3,,3.0
349,"Dimic, Mr. Jovan",3,,42.0
350,"Odahl, Mr. Nils Martin",3,,23.0
351,"Williams-Lambert, Mr. Fletcher Fellows",1,C128,
352,"Elias, Mr. Tannous",3,,15.0
353,"Arnold-Franchi, Mr. Josef",3,,25.0
354,"Yousif, Mr. Wazli",3,,
355,"Vanden Steen, Mr. Leo Peter",3,,28.0
356,"Bowerman, Miss. Elsie Edith",1,E33,22.0
357,"Funk, Miss. Annie Clemmer",2,,38.0
358,"McGovern, Miss. Mary",3,,
359,"Mockler, Miss. Helen Mary ""Ellie""",3,,
360,"Skoog, Mr. Wilhelm",3,,40.0
361,"del Carlo, Mr. Sebastiano",2,,29.0
362,"Barbara, Mrs. (Catherine David)",3,,45.0
363,"Asim, Mr. Adola",3,,35.0
364,"O'Brien, Mr. Thomas",3,,
365,"Adahl, Mr. Mauritz Nils Martin",3,,30.0
366,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,D37,60.0
367,"Moussa, Mrs. (Mantoura Boulos)",3,,
368,"Jermyn, Miss. Annie",3,,
369,"Aubart, Mme. Leontine Pauline",1,B35,24.0
370,"Harder, Mr. George Achilles",1,E50,25.0
371,"Wiklund, Mr. Jakob Alfred",3,,18.0
372,"Beavan, Mr. William Thomas",3,,19.0
373,"Ringhini, Mr. Sante",1,,22.0
374,"Palsson, Miss. Stina Viola",3,,3.0
375,"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,,
376,"Landergren, Miss. Aurora Adelia",3,,22.0
377,"Widener, Mr. Harry Elkins",1,C82,27.0
378,"Betros, Mr. Tannous",3,,20.0
379,"Gustafsson, Mr. Karl Gideon",3,,19.0
380,"Bidois, Miss. Rosalie",1,,42.0
381,"Nakid, Miss. Maria (""Mary"")",3,,1.0
382,"Tikkanen, Mr. Juho",3,,32.0
383,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,,35.0
384,"Plotcharsky, Mr. Vasil",3,,
385,"Davies, Mr. Charles Henry",2,,18.0
386,"Goodwin, Master. Sidney Leonard",3,,1.0
387,"Buss, Miss. Kate",2,,36.0
388,"Sadlier, Mr. Matthew",3,,
389,"Lehmann, Miss. Bertha",2,,17.0
390,"Carter, Mr. William Ernest",1,B96 B98,36.0
391,"Jansson, Mr. Carl Olof",3,,21.0
392,"Gustafsson, Mr. Johan Birger",3,,28.0
393,"Newell, Miss. Marjorie",1,D36,23.0
394,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",3,G6,24.0
395,"Johansson, Mr. Erik",3,,22.0
396,"Olsson, Miss. Elina",3,,31.0
397,"McKane, Mr. Peter David",2,,46.0
398,"Pain, Dr. Alfred",2,,23.0
399,"Trout, Mrs. William H (Jessie L)",2,,28.0
400,"Niskanen, Mr. Juha",3,,39.0
401,"Adams, Mr. John",3,,26.0
402,"Jussila, Miss. Mari Aina",3,,21.0
403,"Hakkarainen, Mr. Pekka Pietari",3,,28.0
404,"Oreskovic, Miss. Marija",3,,20.0
405,"Gale, Mr. Shadrach",2,,34.0
406,"Widegren, Mr. Carl/Charles Peter",3,,51.0
407,"Richards, Master. William Rowe",2,,3.0
408,"Birkeland, Mr. Hans Martin Monsen",3,,21.0
409,"Lefebre, Miss. Ida",3,,
410,"Sdycoff, Mr. Todor",3,,
411,"Hart, Mr. Henry",3,,
412,"Minahan, Miss. Daisy E",1,C78,33.0
413,"Cunningham, Mr. Alfred Fleming",2,,
414,"Sundman, Mr. Johan Julian",3,,44.0
415,"Meek, Mrs. Thomas (Annie Louise Rowley)",3,,
416,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,,34.0
417,"Silven, Miss. Lyyli Karoliina",2,,18.0
418,"Matthews, Mr. William John",2,,30.0
419,"Van Impe, Miss. Catharina",3,,10.0
420,"Gheorgheff, Mr. Stanio",3,,
421,"Charters, Mr. David",3,,21.0
422,"Zimmerman, Mr. Leo",3,,29.0
423,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",3,,28.0
424,"Rosblom, Mr. Viktor Richard",3,,18.0
425,"Wiseman, Mr. Phillippe",3,,
426,"Clarke, Mrs. Charles V (Ada Maria Winfield)",2,,28.0
427,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",2,,19.0
428,"Flynn, Mr. James",3,,
429,"Pickard, Mr. Berk (Berk Trembisky)",3,E10,32.0
430,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,C52,28.0
431,"Thorneycroft, Mrs. Percival (Florence Kate White)",3,,
432,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",2,,42.0
433,"Kallio, Mr. Nikolai Erland",3,,17.0
434,"Silvey, Mr. William Baird",1,E44,50.0
435,"Carter, Miss. Lucile Polk",1,B96 B98,14.0
436,"Ford, Miss. Doolina Margaret ""Daisy""",3,,21.0
437,"Richards, Mrs. Sidney (Emily Hocking)",2,,24.0
438,"Fortune, Mr. Mark",1,C23 C25 C27,64.0
439,"Kvillner, Mr. Johan Henrik Johannesson",2,,31.0
440,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",2,,45.0
441,"Hampe, Mr. Leon",3,,20.0
442,"Petterson, Mr. Johan Emil",3,,25.0
443,"Reynaldo, Ms. Encarnacion",2,,28.0
444,"Johannesen-Bratthammer, Mr. Bernt",3,,
445,"Dodge, Master. Washington",1,A34,4.0
446,"Mellinger, Miss. Madeleine Violet",2,,13.0
447,"Seward, Mr. Frederic Kimber",1,,34.0
448,"Baclini, Miss. Marie Catherine",3,,5.0
449,"Peuchen, Major. Arthur Godfrey",1,C104,52.0
450,"West, Mr. Edwy Arthur",2,,36.0
451,"Hagland, Mr. Ingvald Olai Olsen",3,,
452,"Foreman, Mr. Benjamin Laventall",1,C111,30.0
453,"Goldenberg, Mr. Samuel L",1,C92,49.0
454,"Peduzzi, Mr. Joseph",3,,
455,"Jalsevac, Mr. Ivan",3,,29.0
456,"Millet, Mr. Francis Davis",1,E38,65.0
457,"Kenyon, Mrs. Frederick R (Marion)",1,D21,
458,"Toomey, Miss. Ellen",2,,50.0
459,"O'Connor, Mr. Maurice",3,,
460,"Anderson, Mr. Harry",1,E12,48.0
461,"Morley, Mr. William",3,,34.0
462,"Gee, Mr. Arthur H",1,E63,47.0
463,"Milling, Mr. Jacob Christian",2,,48.0
464,"Maisner, Mr. Simon",3,,
465,"Goncalves, Mr. Manuel Estanslas",3,,38.0
466,"Campbell, Mr. William",2,,
467,"Smart, Mr. John Montgomery",1,,56.0
468,"Scanlan, Mr. James",3,,
469,"Baclini, Miss. Helene Barbara",3,,0.75
470,"Keefe, Mr. Arthur",3,,
471,"Cacic, Mr. Luka",3,,38.0
472,"West, Mrs. Edwy Arthur (Ada Mary Worth)",2,,33.0
473,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",2,D,23.0
474,"Strandberg, Miss. Ida Sofia",3,,22.0
475,"Clifford, Mr. George Quincy",1,A14,
476,"Renouf, Mr. Peter Henry",2,,34.0
477,"Braund, Mr. Lewis Richard",3,,29.0
478,"Karlsson, Mr. Nils August",3,,22.0
479,"Hirvonen, Miss. Hildur E",3,,2.0
480,"Goodwin, Master. Harold Victor",3,,9.0
481,"Frost, Mr. Anthony Wood ""Archie""",2,,
482,"Rouse, Mr. Richard Henry",3,,50.0
483,"Turkula, Mrs. (Hedwig)",3,,63.0
484,"Bishop, Mr. Dickinson H",1,B49,25.0
485,"Lefebre, Miss. Jeannie",3,,
486,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",1,C93,35.0
487,"Kent, Mr. Edward Austin",1,B37,58.0
488,"Somerton, Mr. Francis William",3,,30.0
489,"Coutts, Master. Eden Leslie ""Neville""",3,,9.0
490,"Hagland, Mr. Konrad Mathias Reiersen",3,,
491,"Windelov, Mr. Einar",3,,21.0
492,"Molson, Mr. Harry Markland",1,C30,55.0
493,"Artagaveytia, Mr. Ramon",1,,71.0
494,"Stanley, Mr. Edward Roland",3,,21.0
495,"Yousseff, Mr. Gerious",3,,
496,"Eustis, Miss. Elizabeth Mussey",1,D20,54.0
497,"Shellard, Mr. Frederick William",3,,
498,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1,C22 C26,25.0
499,"Svensson, Mr. Olof",3,,24.0
500,"Calic, Mr. Petar",3,,17.0
501,"Canavan, Miss. Mary",3,,21.0
