Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating
"Galliamova, Alisa",RUS,F,1972.0,IM,2438,2356.0,2412.0
"Osmak, Iulija",UKR,F,1998.0,IM,2438,2356.0,2242.0
"Sebag, Marie",FRA,F,1986.0,GM,2438,2413.0,2482.0
"Bulmaga, Irina",ROU,F,1993.0,IM,2434,2351.0,2335.0
"Huang, Qian",CHN,F,1986.0,WGM,2433,2464.0,2311.0
"Gunina, Valentina",RUS,F,1989.0,GM,2431,2427.0,2476.0
"Krush, Irina",USA,F,1983.0,GM,2429,2392.0,2342.0
"Arabidze, Meri",GEO,F,1994.0,IM,2428,2434.0,2432.0
"Munguntuul, Batkhuyag",MGL,F,1987.0,IM,2428,2364.0,2285.0
"Socko, Monika",POL,F,1978.0,GM,2428,2321.0,2289.0
"Badelka, Olga",BLR,F,2002.0,IM,2427,2246.0,2197.0
"Wang, Jue",CHN,F,1995.0,WGM,2426,2421.0,2378.0
"Zhu, Chen",QAT,F,1976.0,GM,2423,2404.0,2378.0
"Ding, Yixin",CHN,F,1991.0,WGM,2422,2349.0,2313.0
"Matnadze, Ana",ESP,F,1983.0,IM,2421,2361.0,2438.0
"Yip, Carissa",USA,F,2003.0,IM,2421,,1708.0
"Alexandrova, Olga",ESP,F,1978.0,IM,2420,2406.0,2408.0
"Zatonskih, Anna",USA,F,1978.0,IM,2420,2327.0,2331.0
"Zawadzka, Jolanta",POL,F,1987.0,WGM,2419,2313.0,2257.0
"Guo, Qi",CHN,F,1995.0,IM,2418,2446.0,2338.0
"Skripchenko, Almira",FRA,F,1976.0,IM,2418,2227.0,2298.0
"Ushenina, Anna",UKR,F,1985.0,GM,2416,2376.0,2387.0
"Guichard, Pauline",FRA,F,1988.0,IM,2415,2284.0,2270.0
"Hunt, Harriet V",ENG,F,1978.0,IM,2414,2391.0,
"Sukandar, Irine Kharisma",INA,F,1992.0,IM,2413,2381.0,2313.0
"Bodnaruk, Anastasia",RUS,F,1992.0,IM,2411,2308.0,2415.0
"Cyfka, Karina",POL,F,1987.0,IM,2411,2330.0,2304.0
"Buksa, Nataliya",UKR,F,1996.0,IM,2410,2213.0,2214.0
"Danielian, Elina",ARM,F,1978.0,GM,2407,2358.0,2289.0
"Hoang, Thanh Trang",HUN,F,1980.0,GM,2407,2338.0,2364.0
"Levitina, Irina",USA,F,1954.0,WGM,2405,,
"Jackova, Jana",CZE,F,1982.0,IM,2402,,
"Sargsyan, Anna M.",ARM,F,2001.0,WGM,2402,2304.0,2263.0
"Milliet, Sophie",FRA,F,1983.0,IM,2401,2381.0,2296.0
"Shen, Yang",CHN,F,1989.0,IM,2401,2383.0,2331.0
"Daulyte-Cornette, Deimante",LTU,F,1989.0,IM,2400,2362.0,2285.0
"Gaponenko, Inna",UKR,F,1976.0,IM,2396,2375.0,2326.0
"Rajlich, Iweta",POL,F,1981.0,IM,2394,2381.0,
Vaishali R,IND,F,2001.0,WGM,2393,2149.0,2313.0
"Peptan, Corina-Isabela",ROU,F,1978.0,IM,2392,2355.0,2293.0
"Tania, Sachdev",IND,F,1986.0,IM,2392,2339.0,2280.0
Kulkarni Bhakti,IND,F,1992.0,IM,2391,2325.0,2224.0
"Tsolakidou, Stavroula",GRE,F,2000.0,IM,2391,2305.0,2343.0
"Ni, Shiqun",CHN,F,1997.0,WGM,2389,2377.0,2186.0
"Zdebskaja, Natalia",UKR,F,1986.0,WGM,2389,,
"Cori T., Deysi",PER,F,1993.0,WGM,2388,2340.0,2391.0
"Mkrtchian, Lilit",ARM,F,1982.0,IM,2388,2306.0,2319.0
"Maric, Alisa",SRB,F,1970.0,IM,2387,,
"Wang, Pin",CHN,F,1974.0,WGM,2387,,
"Bivol, Alina",RUS,F,1996.0,WGM,2386,2248.0,2219.0
"Kovalevskaya, Ekaterina",RUS,F,1974.0,IM,2384,2282.0,2177.0
"Wang, Annie",USA,F,2002.0,IM,2384,,2037.0
"Guramishvili, Sopiko",NED,F,1991.0,IM,2383,2328.0,2321.0
"Nomin-Erdene, Davaademberel",MGL,F,2000.0,IM,2383,2235.0,2188.0
"Mammadova, Gulnar",AZE,F,1991.0,IM,2382,2400.0,2328.0
"Houska, Jovanka",ENG,F,1980.0,IM,2381,2317.0,2345.0
"Turova, Irina",RUS,F,1979.0,IM,2381,2348.0,2388.0
"Arakhamia-Grant, Ketevan",SCO,F,1968.0,GM,2380,2282.0,2177.0
"Matveeva, Svetlana",RUS,F,1969.0,IM,2380,2338.0,2231.0
"Vega Gutierrez, Sabrina",ESP,F,1987.0,IM,2380,2243.0,2248.0
"Assaubayeva, Bibisara",KAZ,F,2004.0,FM,2378,2321.0,2232.0
"Guseva, Marina",RUS,F,1986.0,IM,2378,2252.0,2259.0
"Tokhirjonova, Gulrukhbegim",UZB,F,1999.0,WGM,2378,2330.0,2236.0
"Zimina, Olga",ITA,F,1982.0,IM,2378,2327.0,2229.0
"Balajayeva, Khanim",AZE,F,2001.0,WGM,2376,2093.0,2119.0
"Paikidze, Nazi",USA,F,1993.0,IM,2374,2402.0,2314.0
"Gritsayeva, Oksana",RUS,F,1980.0,WFM,2373,2173.0,2107.0
"Ziaziulkina, Nastassia",BLR,F,1995.0,IM,2373,2299.0,2271.0
"Ovod, Evgenija",RUS,F,1982.0,IM,2372,2235.0,2092.0
"Salimova, Nurgyul",BUL,F,2003.0,IM,2372,2085.0,1973.0
"Ambartsumova, Karina",RUS,F,1989.0,IM,2371,2328.0,2262.0
"Gara, Ticia",HUN,F,1984.0,WGM,2371,2274.0,2340.0
"Melia, Salome",GEO,F,1987.0,IM,2370,2271.0,2211.0
"Padmini, Rout",IND,F,1994.0,IM,2370,2355.0,2196.0
"Ordaz Valdes, Lisandra Teresa",CUB,F,1988.0,IM,2369,2290.0,2301.0
"Brunello, Marina",ITA,F,1994.0,IM,2368,2316.0,2328.0
"Pham, Le Thao Nguyen",VIE,F,1987.0,IM,2366,2377.0,2325.0
"Zhai, Mo",CHN,F,1996.0,WGM,2366,2351.0,2342.0
"Nandhidhaa, P V",IND,F,1996.0,WGM,2365,2131.0,1989.0
"Bojkovic, Natasa",SRB,F,1971.0,IM,2363,,
"Tsatsalashvili, Keti",GEO,F,1992.0,WGM,2363,2191.0,2246.0
"Yildiz Kadioglu, Betul Cemre",TUR,F,1989.0,WGM,2362,2365.0,2253.0
"Aulia, Medina Warda",INA,F,1997.0,IM,2360,2344.0,2199.0
"Vasilevich, Tatjana",UKR,F,1977.0,IM,2360,2193.0,2146.0
"Fierro Baquero, Martha L.",ECU,F,1977.0,IM,2359,2304.0,2214.0
"Abrahamyan, Tatev",USA,F,1988.0,WGM,2358,,2352.0
"Peng, Zhaoqin",NED,F,1968.0,GM,2358,,2133.0
"Garifullina, Leya",RUS,F,2004.0,WGM,2357,2236.0,2259.0
"Batchimeg, Tuvshintugs",MGL,F,1986.0,IM,2356,2311.0,2295.0
"Charochkina, Daria",RUS,F,1990.0,IM,2356,2275.0,2332.0
"Medvegy, Nora Dr.",HUN,F,1977.0,IM,2355,,
"Dordzhieva, Dinara",RUS,F,1999.0,WIM,2354,2345.0,2273.0
"Gomes, Mary Ann",IND,F,1989.0,WGM,2354,2305.0,2106.0
"Kononenko, Tatiana",UKR,F,1978.0,IM,2353,2314.0,
"Tomilova, Elena",RUS,F,1986.0,WGM,2353,2173.0,2124.0
"Zaitseva, Ludmila G.",RUS,F,1956.0,WGM,2352,,
"Soumya, Swaminathan",IND,F,1989.0,IM,2351,2249.0,2115.0
"Michna, Marta",GER,F,1978.0,WGM,2350,2292.0,2377.0
"Nutu-Gajic, Daniela",AUS,F,1957.0,WGM,2350,,
"Hernandez Gil, Ineymig",CUB,F,2004.0,WFM,2348,,2017.0
"Lazarne Vajda, Szidonia",HUN,F,1979.0,IM,2348,2239.0,2347.0
"Stojanovic, Andjelija",SRB,F,1987.0,WGM,2348,2263.0,2293.0
"Lujan, Carolina",ARG,F,1985.0,IM,2346,2375.0,2294.0
"Schuurman, Petra",NED,F,1968.0,FM,2346,,
"Stock, Lara",CRO,F,1992.0,WGM,2346,,
"Gara, Anita",HUN,F,1983.0,IM,2345,2279.0,2244.0
"Karavade, Eesha",IND,F,1987.0,IM,2345,2344.0,2258.0
"Brustman, Agnieszka",POL,F,1962.0,WGM,2344,2347.0,2279.0
"Vo, Thi Kim Phung",VIE,F,1993.0,WGM,2344,2208.0,2291.0
"Kovanova, Baira",RUS,F,1987.0,WGM,2343,2315.0,2187.0
"Voit, Daria",RUS,F,1994.0,WGM,2343,2361.0,2356.0
"Alexandria, Nana",GEO,F,1949.0,WGM,2342,,
"Lomineishvili, Maia",GEO,F,1977.0,IM,2342,2347.0,2348.0
"Movsesian, Julia",SVK,F,1981.0,WGM,2342,2271.0,2354.0
"Khukhashvili, Sopiko",GEO,F,1985.0,IM,2339,2309.0,2282.0
"Marjanovic, Annamaria",HUN,F,2001.0,WGM,2338,2251.0,2156.0
"Papp, Petra",HUN,F,1993.0,WGM,2338,2239.0,2259.0
"Vozovic, Oksana",UKR,F,1985.0,WGM,2338,,2294.0
"Zawadzka, Beata",POL,F,1986.0,WGM,2338,2242.0,
"Kulon, Klaudia",POL,F,1992.0,IM,2336,2239.0,2272.0
"Malysheva, Polina",RUS,F,1988.0,WIM,2336,,
"Melamed, Tatjana",GER,F,1974.0,WGM,2336,2352.0,2363.0
"Zaiatz, Elena",RUS,F,1969.0,IM,2336,2258.0,2342.0
"Grabics, Monika",HUN,F,1976.0,WGM,2335,,
"Papp, Sarah",GER,F,1988.0,WGM,2334,2361.0,2325.0
"Gong, Qianyun",SGP,F,1985.0,WGM,2333,2322.0,2257.0
"Savina, Anastasia",RUS,F,1992.0,IM,2333,2220.0,2229.0
"Shvayger, Yuliya",ISR,F,1994.0,IM,2332,2260.0,2223.0
"Vijayalakshmi, Subbaraman",IND,F,1979.0,IM,2332,2262.0,2252.0
"Nemcova, Katerina",USA,F,1990.0,WGM,2331,2276.0,2361.0
"Ubiennykh, Ekaterina",RUS,F,1983.0,WIM,2331,2310.0,2322.0
"Ozturk, Kubra",TUR,F,1991.0,WGM,2330,2293.0,2384.0
"Garcia Martin, Marta",ESP,F,2000.0,IM,2328,2097.0,2177.0
"Li, Xueyi",CHN,F,1993.0,WGM,2328,2171.0,2091.0
"Nakhbayeva, Guliskhan",KAZ,F,1991.0,IM,2328,2270.0,2185.0
"Pratyusha, Bodda",IND,F,1997.0,WIM,2328,2094.0,2142.0
"Zhukova, Natalia",UKR,F,1979.0,GM,2328,2312.0,2369.0
"Hryhorenko, Nataliya",UKR,F,1986.0,WIM,2327,,
"Ning, Kaiyu",CHN,F,2004.0,WIM,2327,1884.0,2013.0
"Berend, Elvira",LUX,F,1965.0,WGM,2326,2326.0,2340.0
"Litynska, Marta",UKR,F,1949.0,WGM,2326,,
"Worek, Joanna",CZE,F,1986.0,WGM,2326,2307.0,2157.0
"Chernyak, Viktoria",RUS,F,1997.0,WGM,2325,2232.0,2200.0
"Majdan, Joanna",POL,F,1988.0,WGM,2325,2217.0,2249.0
"Rudolf, Anna",HUN,F,1987.0,IM,2325,,
"Sachs, Gulnara",ENG,F,1963.0,WIM,2325,,
"Shumiakina, Tatiana",RUS,F,1965.0,WGM,2325,,
"Struchkova, Svetlana",UKR,F,1963.0,WGM,2325,,
"Berdnyk, Mariia",UKR,F,2003.0,FM,2324,2169.0,2054.0
"Kachiani-Gersinska, Ketino",GER,F,1971.0,IM,2324,2308.0,
"Antolak, Julia",POL,F,2000.0,WIM,2323,2130.0,2040.0
"Li, Ruofan",CHN,F,1978.0,IM,2323,2363.0,2263.0
"Dworakowska, Joanna",POL,F,1978.0,IM,2322,2237.0,2228.0
"Madl, Ildiko",HUN,F,1969.0,IM,2322,,
"Pourkashiyan, Atousa",IRI,F,1988.0,WGM,2322,2290.0,2285.0
"Shahade, Jennifer",USA,F,1980.0,WGM,2322,,2294.0
"Videnova, Iva",BUL,F,1987.0,IM,2322,2319.0,2248.0
"Waszczuk, Patrycja",POL,F,2003.0,WFM,2321,1962.0,1669.0
"Schleining, Zoya",GER,F,1961.0,IM,2320,2340.0,
"Shadrina, Tatiana",RUS,F,1974.0,WGM,2320,2349.0,2340.0
"Dauletova, Gulmira",KAZ,F,1988.0,WGM,2319,2184.0,2205.0
"Efroimski, Marsel",ISR,F,1995.0,WGM,2319,2163.0,2215.0
"Karnaukhova, Elmira",RUS,F,1985.0,WGM,2319,,2290.0
"Khomeriki, Nino",GEO,F,1998.0,WGM,2319,2342.0,2210.0
"Rakic, Marija",SRB,F,1990.0,WIM,2319,2272.0,2263.0
"Haast, Anne",NED,F,1993.0,WGM,2318,,2320.0
"Alinasab, Mobina",IRI,F,2000.0,WIM,2317,2143.0,2061.0
"Sliwicka, Alicja",POL,F,2001.0,WIM,2317,2059.0,2181.0
"Xu, Yuanyuan",CHN,F,1981.0,WGM,2317,2294.0,2281.0
"Demina, Julia",RUS,F,1969.0,WGM,2316,2288.0,
"Duisenova, Madina",KAZ,F,1983.0,WGM,2315,2323.0,
"Unuk, Laura",SLO,F,1999.0,WGM,2315,2187.0,2176.0
"Yu, Jennifer",USA,F,2002.0,FM,2315,1862.0,1920.0
"Graf, Rena",GER,F,1966.0,WGM,2314,,
"Kadimova, Ilaha",AZE,F,1975.0,WGM,2314,2304.0,
"Schulze, Lara",GER,F,2002.0,FM,2314,2125.0,2142.0
"Vasilkova, Svetlana",RUS,F,1988.0,WIM,2314,,
"Narva, Mai",EST,F,1999.0,WIM,2313,2213.0,2220.0
"Sofieva, Ainur",AZE,F,1970.0,WGM,2313,,
"Cervantes Landeiro, Thalia",USA,F,2002.0,FM,2311,1936.0,2021.0
"Cosma, Elena-Luminita",ROU,F,1972.0,WGM,2311,2244.0,2079.0
"Akhsharumova, Anna",USA,F,1957.0,WGM,2310,2287.0,
"Forgas Moreno, Yaniela",CUB,F,1992.0,WIM,2310,2189.0,2108.0
"Mamedjarova, Turkan",AZE,F,1989.0,WGM,2309,2243.0,2263.0
"Gvetadze, Sofio",GEO,F,1983.0,IM,2308,2215.0,2289.0
"Klink, Tamara",GER,F,1967.0,WGM,2308,,
"Tsadzikidze, Natia",GEO,F,1983.0,WIM,2308,,
"Edzgveradze, Natalia",GEO,F,1975.0,WGM,2307,,
"Zhang, Xiaowen",CHN,F,1989.0,WGM,2307,2348.0,2265.0
"Goltseva, Ekaterina",RUS,F,2002.0,FM,2306,2219.0,2225.0
"Janjghava, Natia",GEO,F,1972.0,WIM,2306,2205.0,2118.0
"Ratsma, Rosa",NED,F,1996.0,WIM,2306,,2241.0
"Tsereteli, Tamar",GEO,F,1985.0,WGM,2306,,2312.0
Divya Deshmukh,IND,F,2005.0,WIM,2305,1775.0,2239.0
"Obolentseva, Alexandra",RUS,F,2001.0,WGM,2305,2213.0,2113.0
"Stepovaia, Tatiana",RUS,F,1965.0,WGM,2305,,
"Krupkova, Petra",CZE,F,1976.0,WGM,2303,,
"Rapport, Jovana",SRB,F,1992.0,WGM,2303,2314.0,2218.0
"Calzetta Ruiz, Monica",ESP,F,1972.0,WGM,2302,2103.0,2121.0
"Hernandez Machado, Patricia M.",CUB,F,2003.0,WFM,2302,2011.0,1940.0
"Pina Vega, Sulennis",CUB,F,1981.0,WGM,2302,,2315.0
"Radeva, Viktoria",BUL,F,2001.0,WIM,2302,2052.0,1906.0
"Fataliyeva, Ulviyya",AZE,F,1996.0,WGM,2301,2310.0,2240.0
"Solozhenkina, Elizaveta",RUS,F,2003.0,WIM,2301,2232.0,2200.0
"Xiao, Yiyi",CHN,F,1996.0,WGM,2301,2202.0,2205.0
"Hejazipour, Mitra",IRI,F,1993.0,WGM,2300,2237.0,2239.0
"Repkova, Eva",SVK,F,1975.0,IM,2300,2358.0,2285.0
"Werle, Iozefina",NED,F,1989.0,WGM,2300,2261.0,2255.0
"Borulya, Ekaterina Uriivna",GER,F,1969.0,WGM,2299,,
"Ryjanova, Julia",AUS,F,1974.0,WGM,2299,2259.0,2232.0
"Sedina, Elena",ITA,F,1968.0,IM,2299,2264.0,2260.0
"Zigangirova, Sofya",KAZ,F,1983.0,WIM,2299,,2121.0
"Andriasyan, Siranush",ARM,F,1986.0,WIM,2298,2195.0,2145.0
"Belenkaya, Dina",RUS,F,1993.0,WGM,2297,2135.0,2247.0
"Matras-Clement, Agnieszka",CAN,F,1982.0,WIM,2297,2238.0,2224.0
"Rogule, Laura",LAT,F,1988.0,WGM,2297,2285.0,2129.0
"Yao, Lan",CHN,F,2000.0,WIM,2297,,2027.0
"Azarova, Nadezhda",BLR,F,1983.0,WIM,2296,,
"Klek, Hanna Marie",GER,F,1995.0,WGM,2296,,2255.0
"Krasteva, Beloslava",BUL,F,2004.0,FM,2296,1605.0,1459.0
"Shafigullina, Zarina",RUS,F,2001.0,WFM,2296,2186.0,2128.0
"Theissl Pokorna, Regina",AUT,F,1982.0,WGM,2296,2285.0,2267.0
"Gurieli, Nino",GEO,F,1961.0,IM,2295,2253.0,2266.0
"Tammert, Iamze",GER,F,1971.0,WIM,2295,,
"Timofeeva, Ekaterina",RUS,F,1989.0,WIM,2295,2315.0,
"Ciuksyte, Dagne",ENG,F,1977.0,IM,2294,,2288.0
"Wang, Yu A.",CHN,F,1982.0,IM,2294,2233.0,2291.0
"Osmanodja, Filiz",GER,F,1996.0,WGM,2293,2154.0,2320.0
"Eric, Jovana",SRB,F,1992.0,WGM,2292,2199.0,2233.0
"Sergeyeva, Mariya",KAZ,F,1983.0,WGM,2291,,2323.0
"Keller-Hermann, Edith",GER,F,1921.0,WGM,2290,,
"Lopatskaya, Elena V.",RUS,F,1976.0,WIM,2290,,
"Shved, Irina",UKR,F,1970.0,WIM,2290,,
"Song, Yuxin",CHN,F,2005.0,WIM,2290,2092.0,2192.0
"Styazhkina, Anna",RUS,F,1997.0,WIM,2289,2178.0,2212.0
"Toma, Katarzyna",ENG,F,1985.0,WGM,2289,2202.0,2210.0
"Hoang, Thi Bao Tram",VIE,F,1987.0,WGM,2288,2322.0,2280.0
"Mikhaylova, Irina",RUS,F,1963.0,WGM,2288,2260.0,1985.0
"Sudakova, Irina",RUS,F,1982.0,WGM,2288,2201.0,2235.0
"Uuriintuya, Uurtsaikh",MGL,F,1998.0,WGM,2288,1995.0,1966.0
"Altantuya, Boldbaatar",MGL,F,2005.0,WFM,2287,1735.0,1877.0
"Drogovoz, Irina",RUS,F,1999.0,WIM,2287,2256.0,2163.0
"L'Ami, Alina",ROU,F,1985.0,IM,2287,2345.0,2249.0
"Lubbe, Melanie",GER,F,1990.0,WGM,2287,,2263.0
"Injac, Teodora",SRB,F,2000.0,WIM,2286,2179.0,2316.0
"Olsarova, Karolina",CZE,F,1993.0,WGM,2286,2173.0,2176.0
Vantika Agrawal,IND,F,2002.0,WIM,2286,1729.0,1820.0
"Chistiakova, Tamara",RUS,F,1986.0,WFM,2285,2215.0,2245.0
"Galojan, Lilit",ARM,F,1983.0,IM,2285,2282.0,2275.0
"Hagarova, Zuzana",SVK,F,1977.0,IM,2285,2305.0,
"Kharkova, Elena",RUS,F,,WIM,2285,,
"Nguyen, Thi Thanh An",VIE,F,1976.0,WGM,2285,2220.0,2119.0
"Agrest, Inna",SWE,F,1991.0,WIM,2284,2155.0,2095.0
"Darchia, Diana",GEO,F,1977.0,WGM,2284,2278.0,
"Gesser, Bella",ISR,F,1985.0,WGM,2284,,
"Navrotescu, Andreea-Cristiana",FRA,F,1996.0,WIM,2284,2220.0,2210.0
"Borisova, Ekaterina",RUS,F,2000.0,FM,2283,2119.0,2102.0
"Semenova, Elena",RUS,F,1992.0,WIM,2283,2117.0,2105.0
"Heinemann, Josefine",GER,F,1998.0,WGM,2281,2177.0,2219.0
"Llaudy Pupo, Lisandra",CUB,F,1988.0,WIM,2281,,2243.0
"Malakhova, Elizaveta",UKR,F,1993.0,WGM,2281,2222.0,2142.0
"Umudova, Nargiz",AZE,F,1989.0,WGM,2281,2157.0,2171.0
"Korkina, Svetlana",RUS,F,1971.0,WIM,2280,,
"Manakov, Marina",GER,F,1969.0,WIM,2280,,
"Nguyen, Emily",USA,F,2002.0,WIM,2280,,1748.0
"Bronnikova, Elizaveta",RUS,F,1985.0,WIM,2279,2174.0,2147.0
"Gajcin, Marina",SRB,F,2001.0,WIM,2279,2102.0,2186.0
"Khalafova, Narmin",AZE,F,1994.0,WGM,2279,2031.0,2109.0
"Reizniece-Ozola, Dana",LAT,F,1981.0,WGM,2279,2204.0,2232.0
"Warakomska, Anna",POL,F,1992.0,WGM,2279,2108.0,2062.0
"Goletiani, Rusudan",USA,F,1980.0,IM,2278,,
"Ivakhinova, Inna",RUS,F,1989.0,WGM,2278,2349.0,2307.0
"Munkhzul, Turmunkh",MGL,F,2002.0,WIM,2278,2044.0,2235.0
"Smirnova, Ekaterina",RUS,F,1996.0,WIM,2278,2106.0,2072.0
"Trabert, Bettina",GER,F,1969.0,WGM,2278,,
"Zhuravleva, Olga",RUS,F,1984.0,WIM,2278,2176.0,2119.0
"Koepke, Elena",GER,F,1984.0,WGM,2277,2264.0,2283.0
"Petrova, Kristyna",CZE,F,1992.0,WIM,2277,2244.0,2162.0
"Charkhalashvili, Inga",GEO,F,1983.0,WGM,2276,2332.0,2219.0
"Georgescu, Lena",SUI,F,1999.0,WIM,2276,2121.0,2256.0
"Popova, Natalija",BLR,F,1976.0,WIM,2276,2171.0,2098.0
"Sharevich, Anna",USA,F,1985.0,WGM,2276,2245.0,2261.0
Sharma Isha,IND,F,2000.0,WIM,2276,1799.0,1834.0
"Gershnik, Anna",USA,F,1975.0,WGM,2275,,
"Klinova, Masha",ISR,F,1968.0,IM,2275,2301.0,2274.0
"Afonasieva, Anna",RUS,F,2001.0,WIM,2274,2168.0,2086.0
"Mamedjarova, Zeinab",AZE,F,1983.0,WGM,2274,2198.0,2250.0
"Muminova, Nafisa",UZB,F,1990.0,WGM,2274,2325.0,2258.0
"Peycheva, Gergana",BUL,F,2003.0,FM,2274,2035.0,1850.0
"Purtseladze, Maka",GEO,F,1988.0,IM,2274,2229.0,2178.0
"Lu, Xiaosha",CHN,F,1973.0,WIM,2273,,
"Mehmed, Elif",BUL,F,2004.0,WFM,2273,1868.0,1687.0
"Calotescu, Ana-Cristina",ROU,F,1983.0,WGM,2272,,
"Maltsevskaya, Aleksandra",RUS,F,2002.0,WGM,2272,2356.0,2295.0
"Alexieva, Silvia",FRA,F,1974.0,IM,2271,2286.0,2315.0
"Dorofeeva, Anna",RUS,F,1979.0,WIM,2271,,
"Getman, Tatyana",RUS,F,2003.0,WFM,2271,2177.0,2091.0
"Kozhakina, Alena V.",RUS,F,1992.0,WFM,2271,,
"Kucherova, Lija",RUS,F,1986.0,WGM,2271,,
"Nasyrova, Ekaterina",RUS,F,2005.0,WFM,2271,2047.0,2097.0
"Derakhshani, Dorsa",USA,F,1998.0,IM,2270,2029.0,2111.0
"Gaprindashvili, Nona",GEO,F,1941.0,GM,2270,2199.0,2105.0
"Juergens, Vera",GER,F,1969.0,WGM,2270,,
"Maletina, Tatiana",RUS,F,1994.0,WIM,2270,2222.0,2227.0
"Ning, Chunhong",CHN,F,1968.0,WGM,2270,,
"Pares Vives, Natalia",ESP,F,1955.0,FM,2270,,
"Potapova, Margarita",RUS,F,2000.0,WIM,2270,2184.0,2235.0
"Schneider, Jana",GER,F,2002.0,FM,2270,2138.0,2028.0
"Terbe, Julianna",HUN,F,1997.0,WIM,2270,2237.0,2098.0
"Mikadze, Miranda",GEO,F,1989.0,WGM,2269,2230.0,2244.0
"Tqeshelashvili, Sopio",GEO,F,1979.0,WGM,2269,1966.0,1798.0
"Vaganian, Irina",ARM,F,1963.0,WIM,2269,,
"Yakimova, Mariya",RUS,F,2005.0,WFM,2269,2068.0,2049.0
"Dornbusch, Tatiana",MNC,F,1982.0,WGM,2268,2248.0,2206.0
"Prudnykova, Olga",UKR,F,1994.0,WIM,2268,2200.0,2162.0
"Sandu, Mihaela",ROU,F,1977.0,WGM,2268,2185.0,2169.0
"Avramidou, Anastasia",GRE,F,2000.0,FM,2267,2052.0,2183.0
"Babayeva, Fanara",AZE,F,1972.0,WFM,2267,,
"Gu, Tianlu",CHN,F,1997.0,WIM,2267,2155.0,2136.0
"Ren, Xiaoyi",CHN,F,1996.0,WIM,2267,2254.0,2189.0
"Rohonyan, Katerina",USA,F,1984.0,WGM,2267,,2321.0
